epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.6596,3.0703349862995104,0.001,0.734,0.7957680166104986
2,0.7157333333333332,0.8176679204356738,0.001,0.734,0.6714776056770658
3,0.7283999999999999,0.7222767788697005,0.001,0.762,0.6243190624262065
4,0.738666666666667,0.7138244751107555,0.001,0.76,0.6315365869501771
5,0.7651999999999998,0.6468256671862043,0.001,0.764,0.6117304377706361
6,0.7829333333333333,0.6199830074951695,0.001,0.746,0.654821976884011
7,0.7745333333333332,0.6226351422396589,0.001,0.784,0.5728034368132955
8,0.7926666666666665,0.5694265443431077,0.001,0.794,0.5170643718964664
9,0.7894666666666665,0.5867220500025796,0.001,0.766,0.5912143848827064
10,0.8183999999999998,0.5032471826178831,0.001,0.808,0.5244826368048063
11,0.8054666666666667,0.5347367989450604,0.001,0.754,0.6154233718816599
12,0.8306666666666662,0.4693039505729808,0.001,0.78,0.577582266530385
13,0.8182666666666667,0.49304890647325594,0.001,0.792,0.5757090129070243
14,0.8430666666666662,0.43352185437738944,0.001,0.77,0.5826397111646912
15,0.8446666666666665,0.4403402886872997,0.001,0.746,0.6143994281004302
16,0.8614666666666664,0.3866999067651857,0.001,0.788,0.5421734899937449
17,0.8470666666666665,0.4290540144552418,0.001,0.762,0.6078767260111096
18,0.8436,0.4082373253144329,0.001,0.796,0.5560367408498426
19,0.8610666666666665,0.385576894161982,0.001,0.774,0.6079518766390826
20,0.8577333333333337,0.4027181433181226,0.001,0.76,0.6434805016818118
21,0.8516000000000002,0.4025759907282859,0.001,0.756,0.5964267956832614
22,0.868933333333333,0.3744144342089898,0.001,0.784,0.5513269691432529
23,0.866133333333333,0.38324591561555854,0.001,0.81,0.5395937822397028
24,0.8845333333333332,0.3329234699056126,0.001,0.778,0.5552267504251732
25,0.8774666666666663,0.3553331155879287,0.001,0.812,0.5864850313187004
26,0.8844000000000004,0.33406097601280527,0.001,0.782,0.5529221897120583
27,0.8903999999999997,0.32134469318653336,0.001,0.766,0.6239015651281467
28,0.8823999999999999,0.32940158778340267,0.001,0.794,0.5693615308360411
29,0.8877333333333333,0.3091167042494974,0.001,0.81,0.5053087852081675
30,0.8841333333333331,0.32295855701827286,0.001,0.786,0.5607338538983185
31,0.8958666666666669,0.28860548125353813,0.001,0.772,0.6275042682728038
32,0.8888000000000003,0.3144148643918292,0.001,0.776,0.610176108383063
33,0.9029333333333329,0.27461522972147473,0.001,0.78,0.5793443289393413
34,0.8981333333333332,0.2827785549612612,0.001,0.762,0.552369277838486
35,0.9149333333333332,0.23807075902998892,0.001,0.782,0.5152854904673082
36,0.9033333333333333,0.2703218434366769,0.001,0.78,0.5843327179553809
37,0.8990666666666667,0.2854064747537721,0.001,0.758,0.684530336068477
38,0.9156,0.24089708995887146,0.001,0.79,0.5858400837669632
39,0.9059999999999994,0.27418744900342384,0.001,0.754,0.6123092518795515
40,0.9250666666666664,0.19787869322742366,0.0005,0.81,0.5079508316792403
41,0.9202666666666665,0.22226329838742104,0.0005,0.816,0.5310381189239117
42,0.930533333333333,0.19357560361235232,0.0005,0.808,0.5541226505778851
43,0.9306666666666663,0.19027328532135027,0.0005,0.806,0.5777349035222115
44,0.9316,0.18559982495340843,0.0005,0.798,0.535370315796334
