epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.4110666666666665,2.089595145722136,0.001,0.636,1.3278152286474512
2,0.41646666666666654,2.058367676151834,0.001,0.62,1.301144761669695
3,0.44953333333333306,2.0420232659766038,0.001,0.62,1.4038615362783649
4,0.4673333333333335,2.026616279555078,0.001,0.656,1.3346278778389622
5,0.48966666666666675,2.0235872326106694,0.001,0.646,1.324164158800781
6,0.5140666666666664,2.0065298292548137,0.001,0.644,1.3344548594403396
7,0.504933333333333,2.0066008315498793,0.001,0.594,1.3487065024345688
8,0.5070666666666668,2.0086777789807906,0.001,0.656,1.3310698404283976
9,0.5103999999999999,1.9997841416001612,0.001,0.636,1.3372568758404684
10,0.5324666666666668,1.9771832238648945,0.001,0.606,1.3234735002210012
11,0.5240666666666668,1.981669812338679,0.001,0.566,1.3883607351121712
12,0.5267333333333333,1.9797643615774252,0.001,0.64,1.3301380736170938
13,0.5327999999999999,1.970277468670742,0.001,0.62,1.3392597329610763
14,0.5353333333333333,1.9683822034258818,0.001,0.624,1.4169136333339043
15,0.5538000000000001,1.9580087937618011,0.001,0.632,1.2976831446101504
16,0.5331999999999997,1.95687349114901,0.001,0.506,1.5107335175593823
17,0.5379999999999998,1.9541765615570748,0.001,0.55,1.4282804979981738
18,0.5547333333333332,1.937276697418419,0.001,0.626,1.3118534950092346
19,0.5532,1.9488217895864752,0.001,0.576,1.4334143315837546
20,0.5686666666666669,1.9291014304664973,0.001,0.6,1.3290298568692525
21,0.5704000000000001,1.9348120755419222,0.001,0.602,1.4054215391396832
22,0.5702,1.932795945835904,0.001,0.65,1.3141756306315977
23,0.5852666666666667,1.9049161982481884,0.001,0.652,1.3200779457510847
24,0.5808000000000001,1.911430698515314,0.001,0.59,1.329173050181119
25,0.5783999999999998,1.9027061174534596,0.0005,0.578,1.352315159205704
26,0.5926666666666667,1.9026950390848123,0.0005,0.608,1.3512526064322288
27,0.5976666666666669,1.8962064954542404,0.0005,0.614,1.3239740869065106
28,0.5954,1.894473209007347,0.0005,0.566,1.471531599081409
29,0.6086000000000001,1.8886400920701432,0.0005,0.606,1.355967671313609
30,0.6100666666666666,1.8868365799478763,0.0005,0.632,1.2992797278397317
31,0.5980666666666665,1.8963208138607897,0.0005,0.618,1.324554882759044
32,0.6153999999999997,1.8847864746636755,0.0005,0.594,1.3506341571277918
33,0.6067333333333331,1.8819948472280572,0.0005,0.676,1.2950097954082165
34,0.6419333333333332,1.8606664099055255,0.0005,0.654,1.3124725658724419
35,0.6194666666666664,1.8762740792160517,0.0005,0.588,1.4060268661069966
36,0.613266666666667,1.8798446804377504,0.0005,0.61,1.3322245714741319
37,0.6144666666666668,1.8781607625145649,0.0005,0.64,1.315915121174486
38,0.6356666666666666,1.8689417823684267,0.0005,0.628,1.3444132029802385
39,0.6330000000000002,1.8669905266561702,0.0005,0.566,1.327515758146592
40,0.6221333333333333,1.8750845168296193,0.0005,0.602,1.3390475626412859
41,0.6384666666666666,1.8563744775892177,0.0005,0.642,1.309921249945817
42,0.6480666666666666,1.855268301033859,0.0005,0.588,1.368798286132979
43,0.6490666666666668,1.8542293702122634,0.0005,0.614,1.338510263099974
44,0.6475333333333334,1.8545555835372844,0.0005,0.608,1.3395838182454674
45,0.6531999999999999,1.853528335322208,0.0005,0.6,1.3703383534142224
46,0.6355333333333334,1.863439490700224,0.0005,0.594,1.343002331962585
47,0.6398666666666668,1.8621018192803394,0.0005,0.642,1.3193009587728444
48,0.6448666666666665,1.8455526706873218,0.0005,0.596,1.3352936754059765
49,0.6515333333333334,1.8484794245075973,0.0005,0.634,1.3136946392147677
50,0.6528000000000002,1.8513132638467906,0.0005,0.538,1.4285848153343197
51,0.669133333333333,1.848383311419037,0.0005,0.538,1.3825213401137795
52,0.6699333333333337,1.8431381240376963,0.0005,0.556,1.3759802002978678
53,0.6720666666666669,1.8410865250388913,0.0005,0.614,1.3378629646207951
54,0.657933333333333,1.8377369933741712,0.00025,0.58,1.3983356873741297
55,0.6579333333333335,1.8414806044167455,0.00025,0.564,1.3615122501498826
