epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.23923333333333324,2.794574203533157,0.001,0.532,1.395824250383705
2,0.2696333333333334,2.7483746952511385,0.001,0.586,1.329737417511283
3,0.30263333333333337,2.704370887822817,0.001,0.534,1.3565928525423734
4,0.3112666666666666,2.6895780259645896,0.001,0.618,1.3590130045414086
5,0.3142333333333333,2.675076334483504,0.001,0.572,1.3958075456297518
6,0.3300000000000001,2.66305964377242,0.001,0.602,1.3405129538396674
7,0.3373666666666667,2.644686297809819,0.001,0.61,1.340860041183861
8,0.3408,2.6464821707683717,0.001,0.586,1.37751954266849
9,0.3513,2.624409597413698,0.001,0.54,1.3913377482415452
10,0.3692000000000001,2.6084756629011507,0.001,0.534,1.3876632323851203
11,0.386,2.597472747462353,0.001,0.6,1.3547248165920331
12,0.3971333333333334,2.5767657310180785,0.001,0.566,1.3753168623584378
13,0.3996666666666668,2.5730519118670965,0.001,0.582,1.36553245756895
14,0.4123333333333333,2.5663382429758137,0.001,0.538,1.3749624415300374
15,0.44760000000000005,2.5459366291489642,0.001,0.506,1.3942395085359003
16,0.4615333333333333,2.537876935418022,0.001,0.54,1.3868891830765682
17,0.4821333333333332,2.5211742203617953,0.001,0.528,1.412995977548141
18,0.49499999999999994,2.5136005451024674,0.001,0.552,1.3819427435769227
19,0.5123333333333333,2.499468552385384,0.001,0.514,1.4201292211677432
20,0.5358999999999999,2.4885846386749613,0.001,0.502,1.4197387278075437
21,0.5701666666666666,2.46579299499248,0.001,0.568,1.4024345422264866
22,0.5644000000000005,2.4671086575806016,0.001,0.506,1.4026834751284576
23,0.5892666666666666,2.4580963087976584,0.001,0.446,1.4638641133852666
24,0.609966666666667,2.430371501765377,0.001,0.444,1.4510850668677626
25,0.6283333333333334,2.405419126210708,0.0005,0.44,1.4375832236070722
26,0.6444999999999999,2.38577464618562,0.0005,0.468,1.4310511243947293
27,0.6465333333333335,2.388156773085133,0.0005,0.504,1.4174791568014082
28,0.6556333333333328,2.377697099180326,0.0005,0.478,1.4378973512934898
29,0.6665666666666665,2.371394048254572,0.0005,0.452,1.4222689722343154
30,0.6575333333333333,2.3684750805449535,0.0005,0.5,1.4204927869902104
31,0.6578333333333335,2.3722350350176415,0.0005,0.452,1.3943763764190948
32,0.6733000000000002,2.3552130394871336,0.0005,0.448,1.463614181915715
33,0.6609999999999999,2.3579307268152205,0.0005,0.498,1.4028322685386596
34,0.6763000000000002,2.3526948677737463,0.0005,0.418,1.466003623103613
35,0.6849666666666667,2.344019872128426,0.0005,0.424,1.4546543846020896
36,0.6836333333333333,2.342026313930149,0.0005,0.464,1.4079991419163986
37,0.6783666666666665,2.339129281160391,0.0005,0.428,1.4300267427514346
38,0.6811333333333335,2.3457163489140136,0.0005,0.49,1.4234220181069548
39,0.6747999999999996,2.345830193721266,0.0005,0.462,1.4577328755405452
40,0.6741333333333333,2.3458545227150562,0.0005,0.438,1.457385606293958
41,0.6904333333333333,2.333571802151627,0.0005,0.394,1.4627102455845309
42,0.6782666666666666,2.3372685021350916,0.0005,0.416,1.430444106413112
43,0.6955666666666666,2.325216461866372,0.0005,0.464,1.4353201913462945
44,0.6922666666666667,2.327443822110534,0.0005,0.404,1.4448253924738463
45,0.6882333333333331,2.3279532926931163,0.00025,0.402,1.4377278401044298
46,0.7043666666666668,2.316986926748798,0.00025,0.454,1.4334866290325667
47,0.7142999999999999,2.312972558570822,0.00025,0.43,1.4649493622099967
48,0.7100000000000002,2.3180325987086094,0.00025,0.43,1.444507072134288
49,0.7035666666666668,2.320411644187638,0.00025,0.426,1.4465557367170323
50,0.7086999999999999,2.3134515932456132,0.00025,0.484,1.4272584700144821
51,0.7101666666666668,2.3084088306774846,0.00025,0.408,1.4517770081695283
52,0.7092333333333335,2.3106259050308187,0.00025,0.416,1.449150708703834
53,0.7124333333333336,2.3132655904247175,0.00025,0.418,1.4518743797805116
54,0.7236,2.304375178595953,0.00025,0.376,1.4791286143579334
55,0.7228999999999998,2.302339043873899,0.00025,0.442,1.4187924404505678
56,0.7151000000000001,2.3090502443360226,0.00025,0.406,1.449441515330982
57,0.7098,2.3143110444806654,0.00025,0.418,1.4532667266057353
58,0.722366666666667,2.3023999495703467,0.00025,0.436,1.4314384173390993
59,0.7176333333333333,2.306184917366595,0.00025,0.388,1.47058864265537
60,0.7214333333333333,2.3012691061232595,0.00025,0.37,1.4657624368637885
61,0.7313999999999997,2.29588444708383,0.00025,0.408,1.4708286720809185
62,0.7223333333333332,2.300243471147607,0.00025,0.39,1.4737921075352622
63,0.7266666666666666,2.297262995181903,0.00025,0.432,1.4549690975245049
64,0.7342666666666671,2.297041169117393,0.00025,0.416,1.4613200900330194
65,0.7402333333333333,2.288618436282878,0.000125,0.396,1.4604994803798672
66,0.7149333333333335,2.2969925279394365,0.000125,0.398,1.4612755573588245
67,0.7244333333333334,2.292723597321208,0.000125,0.4,1.4675440742633088
68,0.7288999999999999,2.2964436114748774,0.000125,0.4,1.4729500523252788
69,0.7274666666666671,2.292948107398637,0.000125,0.404,1.4305437076549143
70,0.7271666666666668,2.289398578692769,0.000125,0.406,1.4519607825634961
71,0.7313333333333332,2.2800888657986125,0.000125,0.352,1.4957431481996926
72,0.7157666666666666,2.29000263283347,0.000125,0.416,1.4673386188847903
73,0.7166333333333331,2.2863512271900728,0.000125,0.424,1.459376344898154
74,0.7378999999999999,2.2814361635070144,0.000125,0.438,1.454787513430918
