epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.5394666666666666,1.4332332748990029,0.001,0.608,1.3914687056020287
2,0.5569333333333332,1.408636490147099,0.001,0.64,1.3664260152102037
3,0.5773333333333335,1.3929894142117192,0.001,0.61,1.356482092322674
4,0.5966666666666667,1.382183765233352,0.001,0.608,1.382449373016255
5,0.6410666666666666,1.3633810460619116,0.001,0.64,1.3615225733536933
6,0.6496000000000002,1.364634985511281,0.001,0.618,1.3662114350367536
7,0.6409333333333332,1.366990458487296,0.001,0.604,1.376604442552271
8,0.6441333333333334,1.3562050047175924,0.001,0.602,1.3668826957217064
9,0.6641333333333331,1.34615576149335,0.001,0.646,1.3487170464287508
10,0.6684,1.342406682207978,0.001,0.652,1.3641723018756537
11,0.6572000000000002,1.3465223420699306,0.001,0.646,1.349375377332826
12,0.6858666666666666,1.3210310310953783,0.001,0.66,1.3518665337784577
13,0.6594666666666665,1.332705765286038,0.001,0.666,1.3676544688700283
14,0.6981333333333332,1.3263190680071562,0.001,0.662,1.3577658704679818
15,0.6965333333333333,1.3227584522178697,0.001,0.642,1.353688901171206
16,0.7092,1.314732268156333,0.001,0.612,1.3622870390560475
17,0.6952000000000005,1.3205676458687723,0.001,0.64,1.3677056143457504
18,0.7125333333333331,1.304309734433422,0.001,0.65,1.3369781931726445
19,0.7034666666666667,1.313046780155055,0.001,0.634,1.3644104485013318
20,0.7121333333333334,1.3068720108703373,0.001,0.642,1.3544772773560871
21,0.7254666666666664,1.2995132511640028,0.001,0.648,1.35913539843658
22,0.7380000000000002,1.294843786691786,0.001,0.654,1.3444886976514863
23,0.7531999999999998,1.285336494699361,0.001,0.672,1.3291194757542166
24,0.7348,1.2980578106456924,0.001,0.636,1.3472582680262244
25,0.7057333333333335,1.3032857715712842,0.001,0.668,1.347628357869249
26,0.7371999999999997,1.2928270429170745,0.001,0.682,1.3462927984497175
27,0.7463999999999998,1.2818113567249099,0.001,0.674,1.3468263365092645
28,0.7379999999999997,1.2786602073412545,0.001,0.626,1.3457679393347777
29,0.7522666666666663,1.2648481126862043,0.001,0.662,1.3361065948681075
30,0.7323999999999998,1.2779236843708561,0.001,0.656,1.3504561497573684
31,0.7719999999999999,1.2545597381589706,0.001,0.688,1.3511450162074206
32,0.7478666666666666,1.2610224026277548,0.001,0.672,1.345039896575028
33,0.7631999999999999,1.2560647342744062,0.001,0.648,1.3507144208297073
34,0.7793333333333332,1.2319920108835887,0.001,0.566,1.3811761652138304
35,0.7787999999999999,1.2418369201296244,0.001,0.662,1.3593750829130558
36,0.7861333333333334,1.2206403773775605,0.001,0.656,1.3677341036696407
37,0.768266666666667,1.2291390825862392,0.001,0.628,1.3627025463623155
38,0.8034666666666669,1.2154223855066109,0.001,0.66,1.3532704294214741
39,0.7925333333333334,1.2091736805209594,0.001,0.636,1.3670291365162939
40,0.8148000000000002,1.2026986158484125,0.001,0.616,1.3712824844252864
41,0.8094666666666664,1.193855118651001,0.001,0.546,1.392682484298812
42,0.8058666666666662,1.1936243726679745,0.001,0.604,1.382554948302586
43,0.8306666666666667,1.1792422529905615,0.001,0.592,1.3677800328064966
44,0.8266666666666667,1.1712841458618335,0.001,0.582,1.4000405997296048
45,0.8191999999999996,1.182443223464179,0.001,0.614,1.390374775593469
46,0.8170666666666669,1.175448105300348,0.001,0.608,1.3968225764915714
47,0.8339999999999997,1.1614717257215499,0.001,0.638,1.3774777856137794
48,0.8221333333333329,1.1786446398455461,0.001,0.6,1.3866219036395304
49,0.8259999999999998,1.1669947050451008,0.001,0.596,1.3870719944016305
50,0.8458666666666664,1.1439260381710907,0.001,0.542,1.4122721557321944
51,0.8381333333333336,1.1569141690284264,0.001,0.53,1.404008237084179
52,0.8606666666666664,1.1271484383975592,0.0005,0.556,1.397223371967335
53,0.8651999999999996,1.1158546157920057,0.0005,0.518,1.4335320069828554
54,0.8615999999999998,1.1212368556852972,0.0005,0.56,1.4125775385576442
55,0.8482666666666665,1.133219580638506,0.0005,0.54,1.3993089719266214
56,0.8601333333333333,1.1178647635997143,0.0005,0.512,1.3998386928747646
57,0.8415999999999996,1.1282306277774792,0.0005,0.566,1.4100375411944284
58,0.8664000000000001,1.1127268092579206,0.0005,0.526,1.420788073212377
59,0.8705333333333333,1.1077204231336766,0.0005,0.536,1.41869027677251
60,0.8667999999999997,1.109641467612332,0.0005,0.576,1.4023871317115826
61,0.8757333333333329,1.0978555821183245,0.0005,0.522,1.4370302557158432
62,0.8769333333333327,1.0967397664209215,0.0005,0.518,1.4302760817632372
63,0.8735999999999996,1.1032884938773113,0.0005,0.528,1.4139868062672283
64,0.8753333333333331,1.0914163441094618,0.0005,0.518,1.430034146663732
65,0.8622666666666663,1.1022609463910706,0.0005,0.53,1.4197488217205059
66,0.873333333333333,1.0996525242535171,0.0005,0.52,1.4156529413864334
67,0.873466666666667,1.0935617521032799,0.0005,0.5,1.4210356820968966
68,0.8711999999999999,1.0907118227149057,0.0005,0.51,1.4158457058665241
69,0.8631999999999995,1.0966510187333491,0.0005,0.514,1.4424395023078285
70,0.8710666666666662,1.096814280327362,0.0005,0.496,1.4248251906129485
71,0.861866666666666,1.096650859092256,0.0005,0.466,1.429807295517215
72,0.8881333333333333,1.0744623151667583,0.00025,0.492,1.4411421082303844
73,0.8891999999999995,1.073868297245268,0.00025,0.514,1.419361856480943
74,0.8719999999999999,1.078684978587193,0.00025,0.51,1.4195441195859946
75,0.886133333333333,1.0724104973782176,0.00025,0.52,1.430211308525438
76,0.8897333333333327,1.0667391919914575,0.00025,0.496,1.4380738116737044
77,0.8804,1.0760395702581893,0.00025,0.518,1.4388672957031077
78,0.8809333333333332,1.0797717919604206,0.00025,0.524,1.4342111800580923
79,0.8664000000000001,1.0912014562166747,0.00025,0.526,1.400457186338309
80,0.8867999999999999,1.0674935719261531,0.00025,0.496,1.4314377251092376
81,0.8797333333333333,1.0716828238827254,0.00025,0.474,1.4442619234145093
82,0.8815999999999998,1.0670208852722407,0.00025,0.494,1.4430089864545754
83,0.8695999999999999,1.0811140771845897,0.00025,0.52,1.4180550568149095
84,0.8883999999999994,1.0636265088964545,0.00025,0.486,1.431032566149664
85,0.878133333333333,1.070722151627974,0.00025,0.478,1.4429950895493724
86,0.8778666666666659,1.0677835359648034,0.00025,0.504,1.4278014671379142
87,0.8834666666666664,1.071014182127821,0.00025,0.492,1.4115592898203124
88,0.8709333333333332,1.0886009023429652,0.00025,0.526,1.4269966555412665
89,0.8889333333333331,1.0660479056586885,0.00025,0.558,1.4234370825654947
90,0.8817333333333331,1.0640557090530067,0.00025,0.514,1.421713970560641
91,0.8721333333333336,1.0660722757873782,0.00025,0.53,1.431840596853818
92,0.8693333333333332,1.069413105158498,0.000125,0.508,1.4305412656115666
93,0.8747999999999998,1.0829256680348036,0.000125,0.486,1.434242200119523
94,0.8734666666666666,1.0719126842705327,0.000125,0.476,1.4480976560301626
95,0.8893333333333326,1.0610395231470953,0.000125,0.484,1.4467302762274343
96,0.8872000000000001,1.0558461272292734,0.000125,0.506,1.4428206825486565
97,0.8893333333333331,1.0588211388736348,0.000125,0.506,1.4442453371461643
98,0.8873333333333333,1.057933753029641,0.000125,0.502,1.4333644670003742
99,0.8841333333333327,1.0608267388855532,0.000125,0.466,1.4486142420639645
100,0.9004000000000001,1.0602137797626776,0.000125,0.502,1.448486992402005
101,0.8838666666666666,1.0603968572162257,0.000125,0.456,1.4450709692496266
102,0.878533333333333,1.0649548688311194,0.000125,0.496,1.430933480726974
103,0.8853333333333329,1.0601364487682436,0.000125,0.522,1.4336999450183594
104,0.8827999999999997,1.059908800161377,0.000125,0.476,1.4368617803054407
105,0.8761333333333329,1.0683299647126345,0.000125,0.502,1.4321463601421547
106,0.8966666666666664,1.0578667579162435,0.000125,0.46,1.4422424930218167
107,0.8891999999999998,1.0583198465574999,0.000125,0.498,1.4406546931325515
108,0.8962666666666671,1.064652150758635,0.000125,0.482,1.4236897788267708
109,0.8798666666666667,1.0675729754002428,0.000125,0.45,1.4569467832561565
110,0.897066666666667,1.0480236137995385,0.000125,0.484,1.4289626610221111
111,0.8941333333333334,1.0502416526686267,0.000125,0.47,1.4437205985364114
112,0.8770666666666667,1.0688014324585156,0.000125,0.468,1.4493569604811989
113,0.8742666666666662,1.0667083770801826,0.000125,0.52,1.4392426454247387
114,0.8982666666666665,1.0566957045872365,0.000125,0.466,1.4498746822929511
115,0.8882666666666669,1.062457014400719,0.000125,0.45,1.4404251556894283
116,0.8934666666666665,1.0524867865388408,0.000125,0.462,1.4518410274296627
117,0.8958666666666665,1.0504608229691046,0.000125,0.472,1.4509135016343453
118,0.8958666666666666,1.0466001690391256,0.000125,0.486,1.4474840959726045
119,0.876933333333333,1.06356827199154,0.000125,0.448,1.4505782616691405
120,0.9124000000000001,1.043912438023976,0.000125,0.488,1.4383221757230844
121,0.8843999999999997,1.063598584533926,0.000125,0.462,1.4383570627438242
122,0.8887999999999999,1.05683122630008,0.000125,0.474,1.4404865489357017
123,0.8975999999999997,1.0466230973916886,0.000125,0.5,1.4364986998993423
124,0.8957333333333333,1.0555994385090455,0.000125,0.478,1.4410930018503296
125,0.8779999999999997,1.0678936911656587,0.000125,0.476,1.430137563876479
126,0.894133333333333,1.0614014633362177,0.000125,0.478,1.4397135963945735
127,0.9007999999999998,1.0500420832229693,0.000125,0.452,1.4524099558441885
128,0.9001333333333333,1.0504089127394622,0.000125,0.48,1.461617884899364
129,0.8849333333333331,1.060228397704154,0.000125,0.444,1.4428000381693165
130,0.8739999999999994,1.0715597120897582,0.000125,0.504,1.4380637539645453
131,0.8853333333333332,1.0508105396659846,0.000125,0.48,1.4483937326832725
132,0.8897333333333336,1.0562777951446878,0.000125,0.468,1.4455381759211998
133,0.8877333333333329,1.0571200978253554,0.000125,0.484,1.458883483382694
134,0.8954666666666661,1.051242891124859,0.000125,0.464,1.461505360534977
135,0.8921333333333331,1.0482321516186222,0.000125,0.51,1.4349081046717707
136,0.9031999999999998,1.046123054802793,0.000125,0.504,1.4408619623599526
137,0.8845333333333331,1.0580966565432939,0.000125,0.468,1.4495509189488787
138,0.8706666666666666,1.0709847528212122,0.000125,0.446,1.4649834421691839
